Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
16329.0,June-2005,5323.3,villa,residential,Center,trapezoid,5,17271,7,0.04360265221453519,1987,1998,alley,46,5,1,NA,Yes,Yes
17471.0,February-2003,9607.7,villa,residential,Outskirts,trapezoid,3,72601,1,0.564229252148535,2000,0,highway,56,5,9,NA,Yes, No
16704.8,September-1981,10760.7,flat,residential,Border,trapezoid,2,33385,5,0.10479783910256879,1968,1979,highway,80,4,7,NA,No,NA
14522.9,May-1997,3604.3,flat,residential,Center,trapezoid,1,8977,9,0.6303384855173626,1997,0,alley,31,1,3,NA,No,NA
18212.0,September-1999,9546.3,villa,residential,Center,rectangle,5,17027,3,0.21445277874907454,1983,1992,alley,37,3,7,NA,Yes, No
12935.3,August-1971,5088.8,duplex,residential,Outskirts,irregular,2,76064,1,0.3074726263350648,1955,1965,highway,18,2,9,NA,No,NA
15449.8,August-2004,2961.8,villa,residential,Border,rectangle,5,21047,10,0.9027970000837587,1995,0,street,71,3,3,NA,Yes, No
22068.4,April-2002,7476.4,duplex,residential,Center,irregular,5,11710,1,0.819062600337475,1986,1996,alley,90,5,2,NA,Yes,NA
15329.3,July-1996,5637.0,villa,residential,Border,trapezoid,3,31120,2,0.8141572980257633,1984,1993,highway,75,1,6,NA,Yes, No
16834.4,January-1997,2109.5,duplex,residential,Outskirts,trapezoid,4,76379,4,0.38067963557619655,1989,0,highway,68,5,3,NA,Yes,NA
18253.5,January-1999,5216.7,duplex,residential,Outskirts,rectangle,5,71172,5,0.7676399405250961,1994,0,highway,85,3,7,NA,No,NA
16643.7,January-2000,8917.5,villa,residential,Center,trapezoid,4,11080,3,0.2091526444310171,1986,1996,alley,55,2,3,NA,Yes, No
22518.4,April-2006,3988.1,open land,commercial,Outskirts,rectangle,3,79573,5,0.24894675229983165,1987,0,highway,70,2,7,F,NA,NA
19219.7,July-1973,10270.8,duplex,residential,Outskirts,trapezoid,3,59301,7,0.9309729108383789,1972,0,highway,38,2,6,NA,No,NA
16837.2,January-1991,8467.4,flat,commercial,Center,irregular,4,9842,1,0.8656126400158913,1991,0,street,13,1,9,NA,No,NA
20630.4,March-2004,10936.9,open land,industrial,Border,rectangle,1,31242,7,0.5037180184197122,1992,0,highway,20,4,6,C,NA,NA
18359.0,October-2003,10043.3,villa,residential,Center,rectangle,4,24228,6,0.12280461935070519,1987,1995,alley,18,5,1,NA,Yes,Yes
16304.4,April-2003,6180.1,flat,residential,Outskirts,irregular,1,51617,3,0.4862922985137834,1992,2002,highway,45,5,1,NA,Yes,NA
18233.0,September-1988,6283.6,duplex,commercial,Center,trapezoid,1,12067,1,0.8716607256796789,1969,1979,alley,8,3,1,NA,Yes,NA
14946.0,March-1975,3651.6,villa,residential,Center,trapezoid,4,22416,10,0.6273250193814359,1964,1972,alley,63,4,4,NA,Yes, No
12960.3,July-2008,3552.3,villa,residential,Border,irregular,5,38853,1,0.3273865543857105,2004,0,highway,11,2,7,NA,Yes,Yes
16780.0,December-2003,4747.4,flat,residential,Border,irregular,5,25948,2,0.7661110033162004,2001,0,street,51,4,10,NA,Yes,NA
13528.0,July-1981,2704.8,duplex,commercial,Outskirts,irregular,3,64319,4,0.6669091254793393,1970,1979,highway,38,1,7,NA,Yes,NA
11764.1,February-1982,7501.2,flat,residential,Outskirts,irregular,2,72894,10,0.5612894355914482,1976,0,highway,77,4,2,NA,No,NA
16320.3,August-2009,9422.6,flat,residential,Border,rectangle,1,29958,2,0.3990759643687155,2001,0,highway,89,5,5,NA,No,NA
16750.5,November-1979,7676.4,flat,residential,Outskirts,trapezoid,5,56109,9,0.37862512630824796,1971,0,highway,5,4,8,NA,No,NA
18372.5,July-1996,9447.9,flat,residential,Border,rectangle,1,22544,7,0.7901111656929013,1984,1995,street,59,3,8,NA,No,NA
16641.0,March-2005,832.8,villa,residential,Border,trapezoid,5,27762,4,0.6521128132871264,2003,0,street,88,3,8,NA,Yes,Yes
17171.1,August-1977,5555.7,flat,residential,Center,trapezoid,3,5709,8,0.42859815706144977,1975,0,alley,68,4,3,NA,Yes,NA
22356.2,November-1995,10215.8,open land,commercial,Border,trapezoid,4,31478,3,0.31737814225163397,1994,0,street,12,2,6,F,NA,NA
18372.0,October-1988,9822.2,duplex,commercial,Outskirts,trapezoid,4,79070,2,0.09114855998266647,1984,0,highway,72,3,9,NA,No,NA
13944.9,March-1992,9033.0,villa,residential,Outskirts,irregular,4,52910,1,0.9160534327579289,1973,1981,highway,3,1,7,NA,Yes, No
10959.3,March-1971,4061.7,villa,residential,Center,irregular,2,4053,6,0.3069870206630144,1966,0,street,41,4,1,NA,Yes, No
17871.5,February-1996,2555.7,open land,residential,Border,trapezoid,1,39981,5,0.6617386996444306,1981,0,highway,65,1,8,C,NA,NA
14611.8,November-1982,8603.6,villa,residential,Border,rectangle,2,26099,6,0.186128557439456,1967,1978,highway,56,1,5,NA,Yes, No
15334.2,March-1997,4367.4,duplex,commercial,Outskirts,irregular,3,76934,10,0.9458944138507276,1984,1992,highway,12,4,7,NA,Yes,NA
23884.6,July-1983,7623.5,open land,industrial,Center,rectangle,5,6054,7,0.6721290003714582,1972,0,street,46,3,7,F,NA,NA
16903.3,May-1971,6119.4,duplex,commercial,Outskirts,rectangle,4,74504,8,0.10159808998468578,1954,1965,highway,57,4,3,NA,Yes,NA
17108.3,December-1991,9933.7,flat,residential,Border,rectangle,2,36920,3,0.6156912977249873,1989,0,highway,66,3,5,NA,No,NA
16912.6,February-2005,1887.2,duplex,residential,Outskirts,trapezoid,4,62035,10,0.6542338419509779,2000,0,highway,0,2,2,NA,Yes,NA
13723.4,May-1982,5700.5,flat,residential,Outskirts,trapezoid,2,54033,3,0.25271871852304806,1967,1976,highway,81,3,4,NA,No,NA
12383.5,November-1976,4858.3,flat,commercial,Border,irregular,1,36842,6,0.4786527673763048,1968,0,street,3,4,3,NA,Yes,NA
20200.5,April-1972,9719.3,villa,residential,Outskirts,trapezoid,2,77792,5,0.2713550377453128,1963,0,highway,57,2,2,NA,Yes,Yes
13449.1,August-1992,4287.8,villa,residential,Outskirts,rectangle,4,50747,5,0.38685779359633476,1976,1986,highway,74,1,4,NA,Yes, No
18450.6,May-2002,9933.5,duplex,residential,Border,irregular,5,25904,7,0.5934575452773269,1991,2001,street,25,1,10,NA,No,NA
17366.5,April-1978,4193.8,open land,residential,Border,irregular,2,22916,3,0.40136418105327476,1968,0,highway,3,2,2,C,NA,NA
19527.6,April-1981,8928.6,villa,residential,Center,irregular,1,13289,2,0.5774023793239708,1967,1978,alley,57,1,10,NA,Yes,Yes
14251.8,December-2001,3908.4,flat,commercial,Center,irregular,2,18512,8,0.7123004366089026,1991,2001,alley,27,3,8,NA,Yes,NA
12846.2,August-2005,1817.1,flat,residential,Outskirts,trapezoid,2,59844,7,0.11565873036714047,2004,0,highway,22,3,7,NA,No,NA
16065.3,February-1994,9692.3,open land,industrial,Outskirts,irregular,2,70031,9,0.4709269053812901,1987,0,highway,99,2,2,C,NA,NA
17970.2,September-1980,11061.4,villa,residential,Border,trapezoid,2,31441,8,0.44025761208069136,1971,0,street,3,2,8,NA,Yes, No
19350.0,April-1985,10291.3,villa,residential,Outskirts,irregular,2,75833,8,0.6832779803057903,1970,1980,highway,15,1,8,NA,Yes,Yes
19754.0,December-1978,9604.4,duplex,residential,Center,trapezoid,4,6193,8,0.1242716961192103,1964,1974,street,43,4,2,NA,No,NA
15348.9,March-1983,4875.1,villa,residential,Center,trapezoid,2,7534,1,0.43360118811048975,1980,0,alley,97,4,2,NA,Yes,Yes
14035.3,February-1996,5597.5,open land,industrial,Outskirts,irregular,2,71686,7,0.0588122564258875,1995,0,highway,33,5,1,F,NA,NA
18074.6,November-1973,8247.9,duplex,commercial,Border,trapezoid,2,27741,9,0.17698389378307,1962,1971,street,14,1,2,NA,Yes,NA
13445.6,January-1997,3465.3,villa,residential,Outskirts,rectangle,5,61518,1,0.45173153755931517,1994,0,highway,28,1,2,NA,Yes, No
23720.0,August-1974,10060.1,open land,commercial,Center,rectangle,3,13233,8,0.6587389629138521,1962,0,street,66,2,10,C,NA,NA
20115.0,May-1985,8710.3,villa,residential,Center,rectangle,3,24109,10,0.6684526959315041,1970,1979,street,25,4,4,NA,Yes,Yes
18275.8,June-2000,5392.6,open land,commercial,Border,rectangle,1,34038,4,0.1930736548483698,1991,0,highway,24,4,8,F,NA,NA
18930.5,January-2005,10250.4,duplex,commercial,Center,rectangle,1,17467,3,0.12071542632552101,1998,0,street,94,5,2,NA,No,NA
14023.3,June-2000,9544.7,flat,residential,Border,irregular,4,26296,9,0.6646846600350182,1989,1997,highway,88,5,3,NA,No,NA
18411.9,June-1970,3586.3,duplex,commercial,Center,rectangle,4,21157,7,0.002552003373248568,1960,1971,street,7,1,4,NA,Yes,NA
14657.2,August-1972,10359.7,villa,residential,Center,irregular,3,12810,1,0.34325395297941275,1955,1963,street,95,1,2,NA,Yes, No
16089.6,December-1993,5936.5,flat,commercial,Outskirts,trapezoid,4,79731,3,0.4457602453511367,1986,0,highway,29,5,10,NA,No,NA
13575.2,December-1991,2825.6,villa,residential,Center,rectangle,3,16298,10,0.29390970046346976,1990,0,alley,84,3,3,NA,Yes, No
15770.9,November-2009,5168.1,duplex,commercial,Border,trapezoid,1,20011,6,0.19719503310369368,2007,0,highway,99,4,2,NA,Yes,NA
21256.3,August-1978,7511.3,duplex,residential,Border,trapezoid,3,34671,6,0.48963709434244984,1975,0,street,65,2,10,NA,Yes,NA
18297.7,November-1983,7381.2,duplex,commercial,Border,trapezoid,4,32866,5,0.11642730591502326,1983,0,highway,99,5,6,NA,Yes,NA
18483.0,May-1990,1835.2,duplex,residential,Border,trapezoid,1,29335,10,0.835079220216618,1973,1982,street,49,1,9,NA,Yes,NA
18942.7,October-2009,7439.7,open land,commercial,Outskirts,trapezoid,4,53090,2,0.2926563617570195,1998,0,highway,41,1,5,C,NA,NA
12525.5,November-1997,6146.6,villa,residential,Border,irregular,3,22662,7,0.18557689044211567,1985,1996,street,35,5,1,NA,Yes,Yes
19155.4,October-1985,1594.7,duplex,residential,Center,trapezoid,4,13655,6,0.7850548740982051,1974,1983,alley,95,3,8,NA,Yes,NA
19781.0,October-1972,9036.3,duplex,residential,Border,trapezoid,2,26510,3,0.35770316918507683,1970,0,highway,18,4,9,NA,Yes,NA
17179.6,January-1993,4891.9,duplex,commercial,Border,trapezoid,3,35583,3,0.15285351703738392,1986,0,street,48,4,10,NA,No,NA
16001.4,February-1989,3853.4,duplex,residential,Border,trapezoid,5,24961,4,0.27325262219904756,1981,0,highway,70,5,5,NA,No,NA
16964.0,January-1981,3002.1,open land,industrial,Border,trapezoid,2,27712,5,0.2219172766270846,1977,0,highway,25,5,9,C,NA,NA
18320.2,January-1977,5936.8,duplex,residential,Center,rectangle,1,5681,1,0.6728615306826101,1962,1972,alley,94,1,2,NA,Yes,NA
22407.0,August-1972,9809.5,duplex,residential,Border,trapezoid,4,24387,7,0.6215709623495279,1961,1972,street,2,3,9,NA,Yes,NA
17989.6,July-1990,3391.6,duplex,commercial,Center,trapezoid,2,23666,10,0.3229960036273042,1974,1982,street,56,5,10,NA,No,NA
17914.0,November-1996,5599.0,flat,residential,Border,rectangle,3,40394,5,0.4087990334306498,1995,0,highway,43,5,9,NA,Yes,NA
17192.0,June-2002,11578.6,duplex,residential,Outskirts,trapezoid,1,56852,5,0.1786805807438291,1987,1995,highway,96,5,1,NA,No,NA
18233.5,December-1972,9933.9,flat,residential,Center,trapezoid,2,7981,4,0.36508793153569585,1966,0,alley,7,1,10,NA,No,NA
20291.0,December-1981,5783.8,open land,residential,Border,rectangle,2,21457,2,0.8754870143891673,1978,0,street,43,2,3,F,NA,NA
16515.3,January-2006,3137.2,duplex,commercial,Border,trapezoid,1,27811,7,0.24094146698060137,1995,2003,street,82,4,4,NA,Yes,NA
12968.9,November-2001,3030.1,open land,industrial,Border,irregular,2,30976,3,0.14805975209673228,1987,0,highway,18,5,4,C,NA,NA
18937.2,October-1988,4896.0,duplex,residential,Center,trapezoid,4,17239,10,0.6619783591246657,1976,1987,alley,30,1,9,NA,No,NA
22308.7,April-1991,5321.2,villa,residential,Center,trapezoid,2,15991,7,0.6251461754139048,1990,0,street,63,1,5,NA,Yes,Yes
20637.9,September-2003,11973.6,duplex,commercial,Outskirts,rectangle,3,65753,6,0.6404396746293598,1991,2002,highway,54,1,3,NA,Yes,NA
18162.9,October-1980,10185.7,villa,residential,Center,trapezoid,3,4076,7,0.6212584737622531,1975,0,alley,91,4,1,NA,Yes,Yes
11868.1,February-2008,2893.2,flat,commercial,Border,irregular,2,32418,8,0.538422520037636,1990,2001,street,4,3,9,NA,No,NA
18190.3,April-2009,3435.4,duplex,residential,Outskirts,irregular,1,57366,5,0.7277342080110907,1990,1998,highway,65,2,6,NA,Yes,NA
14445.6,July-1970,5823.1,open land,commercial,Outskirts,irregular,5,63686,10,0.24152575210932248,1951,0,highway,69,1,4,C,NA,NA
20027.6,May-2006,2935.6,open land,residential,Border,rectangle,4,33552,4,0.9972562561899518,2001,0,highway,29,2,9,C,NA,NA
20167.5,March-1973,10239.9,duplex,commercial,Center,rectangle,3,10580,2,0.24243143153618052,1969,0,street,2,5,7,NA,No,NA
13739.4,June-1977,1233.8,open land,commercial,Border,irregular,3,38521,9,0.8986757241251047,1959,0,highway,50,5,3,F,NA,NA
16474.1,November-1978,2893.9,open land,residential,Outskirts,trapezoid,1,63106,8,0.4288832465650866,1975,0,highway,57,5,2,F,NA,NA
